company_id,type,rule_id,text,confidence_pct
SIEMENS,pro,P07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
SIEMENS,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ABB,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
ABB,pro,P07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
ABB,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ADANIENSOL,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
ADANIENT,pro,P04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90
ADANIENT,pro,P06,Net profit compounding above 20% over five years creates significant shareholder value.,90
ADANIENT,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ADANIGREEN,pro,P04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90
ADANIGREEN,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
ADANIPORTS,pro,P04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90
ADANIPORTS,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
ADANIPORTS,pro,P06,Net profit compounding above 20% over five years creates significant shareholder value.,90
ADANIPORTS,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ADANIPOWER,pro,P04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90
ADANIPOWER,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
AMBUJACEM,pro,P07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
AMBUJACEM,con,C12,Revenue growing below 5% CAGR over five years suggests limited business momentum.,85
APOLLOHOSP,pro,P06,Net profit compounding above 20% over five years creates significant shareholder value.,90
APOLLOHOSP,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ASIANPAINT,pro,P07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
ATGL,pro,P04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90
ATGL,pro,P07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
AXISBANK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
AXISBANK,pro,P06,Net profit compounding above 20% over five years creates significant shareholder value.,90
AXISBANK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJAJ-AUTO,pro,P07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
BAJAJFINSV,pro,P04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90
BAJAJFINSV,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
BAJAJFINSV,pro,P06,Net profit compounding above 20% over five years creates significant shareholder value.,90
BAJAJFINSV,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJAJHLDNG,pro,P04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90
BAJAJHLDNG,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
BAJAJHLDNG,pro,P07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
BAJAJHLDNG,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJFINANCE,pro,P04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90
BAJFINANCE,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
BAJFINANCE,pro,P06,Net profit compounding above 20% over five years creates significant shareholder value.,90
